crying_obsidian: obtain_crying_obsidian
struck_villager: very_very_frightening
killed_dragon: kill_dragon
all_effects: all_potions
tamed_animal: tame_an_animal
beacon: create_beacon
deflected_projectile: deflect_arrow
iron_pickaxe: iron_tools
potion: brew_potion
used_warped_fungus_on_a_stick: ride_strider
killed_skeleton: sniper_duel
levitated: levitate
wither_skull: get_wither_skull
get_stone: mine_stone
two_birds: two_birds_one_arrow
entered_nether: enter_the_nether
kill_pillager: whos_the_pillager_now
stone_pickaxe: upgrade_tools
cured_zombie: cure_zombie_villager
in_city: find_end_city
obsidian: form_obsidian
entered_end_gateway: enter_end_gateway
blaze_rod: obtain_blaze_rod
shot_arrow: shoot_arrow
summoned_dragon: respawn_dragon
iron: smelt_iron
summoned_golem: summon_iron_golem
killed_ghast: return_to_sender
slept_in_bed: sleep_in_bed
enchanted_item: enchant_item
in_stronghold: follow_ender_eye
netherite_hoe: obtain_netherite_hoe
used_totem: totem_of_undying
bastion: find_bastion
axolotl_bucket: axolotl_in_a_bucket
ride_entity_distance: ride_strider_in_overworld_lava
ancient_debris: obtain_ancient_debris
beacon: create_full_beacon
summoned: summon_wither
travelled: fast_travel
traded: trade
killed_ghast: uneasy_alliance
diamond: mine_diamond
fortress: find_fortress
shot_trident: throw_trident
shot_crossbow: ol_betsy
entered_end: enter_the_end
bred: breed_an_animal
